name,child_present,left_risk,right_risk,speed_kph,mode,action
car_vs_pedestrian,0,0.7207283866671284,0.7407727546291889,6,virtue,brake
pedestrian_vs_pedestrian,0,0.7112377614746703,0.9958064656720844,24,virtue,brake
car_vs_car,1,0.2026950310833242,0.040977308757758735,50,virtue,brake
car_vs_car,1,0.036655395168237126,0.24491943466143384,29,virtue,slow_down
car_vs_car,0,0.30379952180706926,0.5977407483835645,11,virtue,slow_down
pedestrian_vs_pedestrian,1,0.1571363048589508,0.4151944533252637,69,virtue,brake
car_vs_pedestrian,1,0.39578847921569404,0.6375562065466429,14,virtue,slow_down
pedestrian_vs_pedestrian,0,0.9793461191526043,0.5864043331387857,5,virtue,brake
car_vs_pedestrian,1,0.18107137090522096,0.7879894678995094,27,virtue,slow_down
car_vs_pedestrian,0,0.31887394342296893,0.07090292014074595,7,virtue,swerve_right
car_vs_car,1,0.7251143163195723,0.4406160699284484,42,virtue,slow_down
pedestrian_vs_pedestrian,0,0.5091827828619216,0.8600537896898004,30,virtue,brake
pedestrian_vs_pedestrian,1,0.043928143573384926,0.3627619053469616,65,virtue,brake
pedestrian_vs_pedestrian,1,0.16169001816132167,0.5037888052702454,12,virtue,slow_down
pedestrian_vs_pedestrian,1,0.9352495547731959,0.021578626293633274,19,virtue,slow_down
pedestrian_vs_pedestrian,1,0.10316499273902846,0.22417389508429852,48,virtue,brake
car_vs_car,1,0.6350927872097057,0.46365512158234656,49,virtue,brake
car_vs_pedestrian,1,0.7923256488409115,0.39896812626434364,25,virtue,slow_down
pedestrian_vs_pedestrian,1,0.2654390627249239,0.714654876910143,65,virtue,brake
car_vs_car,0,0.7250780031386901,0.6118799815915444,60,virtue,brake
car_vs_car,0,0.16989517903018025,0.8802825221644986,43,virtue,slow_down
car_vs_car,0,0.28475027483379034,0.8547707016974011,53,virtue,brake
car_vs_pedestrian,1,0.31182203088420746,0.24121984076630953,38,virtue,slow_down
pedestrian_vs_pedestrian,1,0.9964349905642236,0.01763872903387098,33,virtue,slow_down
pedestrian_vs_pedestrian,0,0.2145722952179573,0.8544707697037623,38,virtue,slow_down
car_vs_car,0,0.129207464633585,0.32912086410503294,59,virtue,brake
car_vs_car,1,0.9256914374814104,0.34710970924060003,1,virtue,slow_down
pedestrian_vs_pedestrian,1,0.16193069382035274,0.15839479819847413,7,virtue,slow_down
car_vs_car,1,0.8792799196294053,0.6930072661472327,33,virtue,brake
car_vs_car,0,0.65045662764669,0.28010891836079477,41,virtue,slow_down
car_vs_car,0,0.5768614980705188,0.17674310106224367,12,virtue,slow_down
car_vs_pedestrian,0,0.7513387115465768,0.5033907410615782,42,virtue,slow_down
car_vs_pedestrian,1,0.7259989571480501,0.7504159059214425,1,virtue,brake
car_vs_car,1,0.11052618941831371,0.2695985975249683,17,virtue,slow_down
pedestrian_vs_pedestrian,1,0.9994661104066891,0.7220390009888508,32,virtue,brake
car_vs_pedestrian,0,0.9418897264487286,0.46197510967107136,3,virtue,brake
pedestrian_vs_pedestrian,0,0.8965919628619162,0.40377272323910185,44,virtue,slow_down
pedestrian_vs_pedestrian,1,0.6222891339424068,0.3595208681361691,37,virtue,slow_down
car_vs_pedestrian,1,0.5227913313323141,0.14558096531945985,40,virtue,slow_down
car_vs_car,0,0.5362785838816683,0.3326337668492275,36,virtue,slow_down
car_vs_pedestrian,1,0.01493694422823244,0.879251530627482,49,virtue,brake
pedestrian_vs_pedestrian,1,0.49946950194544293,0.10216692447205866,46,virtue,brake
pedestrian_vs_pedestrian,0,0.6237695676599199,0.9583000151018027,46,virtue,brake
car_vs_car,1,0.6587062087749485,0.1074965274878179,15,virtue,slow_down
car_vs_pedestrian,1,0.332139465051313,0.3620316422993538,48,virtue,brake
pedestrian_vs_pedestrian,1,0.4712823502935495,0.6063061738005442,12,virtue,slow_down
car_vs_car,0,0.6363106066625744,0.8378414036081486,1,virtue,brake
pedestrian_vs_pedestrian,1,0.4283055102751817,0.14358281807400397,69,virtue,brake
pedestrian_vs_pedestrian,0,0.9621351989835252,0.14110222405843187,12,virtue,slow_down
pedestrian_vs_pedestrian,1,0.7054421098520003,0.6283781246617257,8,virtue,slow_down
pedestrian_vs_pedestrian,0,0.001273746250890495,0.29274663240477794,21,virtue,swerve_left
car_vs_pedestrian,1,0.023279481482253006,0.6445020970179904,70,virtue,brake
car_vs_car,1,0.6903002034683744,0.8205832029295308,61,virtue,brake
